first,agent_id,given_link_type_code,road_sequence,from_node_id,to_node_id,link_id,trace_no,trace_id,length,distance,link_type_code,geometry
first,456,,8,21297,21416,12568,6653,7004314,209.17,1866.44,,"MULTILINESTRING ((-76.981658 38.878633,-76.979698 38.877663))"
first,456,,9,21416,21417,12983,6653,7004314,16.09,1882.53,,"MULTILINESTRING ((-76.979698 38.877663,-76.979498 38.877602))"
first,456,,10,21417,20969,12985,6654,7004315,353.98,2236.51,,"MULTILINESTRING ((-76.979498 38.877602,-76.976136 38.875913))"
first,456,,11,20969,20967,11459,6654,7004315,241.35,2477.86,,"MULTILINESTRING ((-76.976136 38.875913,-76.973717 38.874751))"
first,456,,12,20967,21299,11457,6654,7004315,305.71,2783.57,,"MULTILINESTRING ((-76.973717 38.874751,-76.97076 38.873391))"
first,456,,13,21299,21332,12575,6655,7004316,176.99,2960.56,,"MULTILINESTRING ((-76.97076 38.873391,-76.968958 38.872781))"
first,456,,14,21332,21331,12703,6656,7004317,418.34,3378.9,,"MULTILINESTRING ((-76.968958 38.872781,-76.964758 38.871083))"
first,456,,15,21331,21320,12700,6658,7004319,434.43,3813.33,,"MULTILINESTRING ((-76.964758 38.871083,-76.96039 38.869261))"
first,456,,16,21320,21330,12657,6660,7004321,434.43,4247.76,,"MULTILINESTRING ((-76.96039 38.869261,-76.959637 38.865332))"
first,456,,17,21330,21329,12697,6661,7004322,386.16,4633.92,,"MULTILINESTRING ((-76.959637 38.865332,-76.958999 38.861921))"
first,456,,18,21329,21350,12691,6663,7004324,402.25,5036.17,,"MULTILINESTRING ((-76.958999 38.861921,-76.9589 38.858341))"
first,456,,19,21350,320,12771,6666,7004327,353.98,5390.15,,"MULTILINESTRING ((-76.9589 38.858341,-76.962858 38.857362))"
first,458,,1,21431,22864,13022,6672,7004333,225.26,225.26,,"MULTILINESTRING ((-77.087599 38.959331,-77.085727 38.960783))"
first,458,,2,22864,21546,17553,6673,7004334,450.52,675.78,,"MULTILINESTRING ((-77.085727 38.960783,-77.083798 38.956992))"
first,458,,3,21546,20715,13402,6673,7004334,273.53,949.31,,"MULTILINESTRING ((-77.083798 38.956992,-77.082628 38.954681))"
first,458,,4,20715,21543,10576,6673,7004334,160.9,1110.21,,"MULTILINESTRING ((-77.082628 38.954681,-77.081916 38.953292))"
first,458,,5,21543,20716,13393,6673,7004334,418.34,1528.55,,"MULTILINESTRING ((-77.081916 38.953292,-77.080358 38.949672))"
first,458,,6,20716,20717,10580,6674,7004335,112.63,1641.18,,"MULTILINESTRING ((-77.080358 38.949672,-77.08009 38.948653))"
first,458,,7,20717,20718,10585,6674,7004335,96.54,1737.72,,"MULTILINESTRING ((-77.08009 38.948653,-77.079677 38.947901))"
first,458,,8,20718,20719,10588,6674,7004335,225.26,1962.98,,"MULTILINESTRING ((-77.079677 38.947901,-77.078406 38.946362))"
first,458,,9,20719,21540,10593,6675,7004336,193.08,2156.06,,"MULTILINESTRING ((-77.078406 38.946362,-77.077919 38.944783))"
first,458,,10,21540,20358,13382,6675,7004336,96.54,2252.6,,"MULTILINESTRING ((-77.077919 38.944783,-77.077458 38.943932))"
first,458,,11,20358,20721,9421,6675,7004336,96.54,2349.14,,"MULTILINESTRING ((-77.077458 38.943932,-77.077028 38.943161))"
first,458,,12,20721,21931,10599,6675,7004336,112.63,2461.77,,"MULTILINESTRING ((-77.077028 38.943161,-77.0765 38.942203))"
first,458,,13,21931,21930,14604,6676,7004337,321.8,2783.57,,"MULTILINESTRING ((-77.0765 38.942203,-77.07501 38.939563))"
first,458,,14,21930,21554,14600,6676,7004337,160.9,2944.47,,"MULTILINESTRING ((-77.07501 38.939563,-77.074259 38.938163))"
first,458,,15,21554,20722,13425,6676,7004337,96.54,3041.01,,"MULTILINESTRING ((-77.074259 38.938163,-77.073777 38.937301))"
first,458,,16,20722,20723,10600,6676,7004337,450.52,3491.53,,"MULTILINESTRING ((-77.073777 38.937301,-77.072409 38.933472))"
first,458,,17,20723,20695,10605,6677,7004338,176.99,3668.52,,"MULTILINESTRING ((-77.072409 38.933472,-77.072618 38.931843))"
first,458,,18,20695,21532,10512,6677,7004338,112.63,3781.15,,"MULTILINESTRING ((-77.072618 38.931843,-77.072796 38.930852))"
first,458,,19,21532,20694,13356,6677,7004338,257.44,4038.59,,"MULTILINESTRING ((-77.072796 38.930852,-77.073149 38.928581))"
first,458,,20,20694,21919,10509,6678,7004339,273.53,4312.12,,"MULTILINESTRING ((-77.073149 38.928581,-77.07087 38.926932))"
first,458,,21,21919,21920,14567,6678,7004339,273.53,4585.65,,"MULTILINESTRING ((-77.07087 38.926932,-77.068597 38.925261))"
first,458,,22,21920,20724,14569,6678,7004339,225.26,4810.91,,"MULTILINESTRING ((-77.068597 38.925261,-77.066368 38.924313))"
first,458,,23,20724,20638,10607,6678,7004339,466.61,5277.52,,"MULTILINESTRING ((-77.066368 38.924313,-77.063139 38.921401))"
first,458,,24,20638,21528,10321,6678,7004339,450.52,5728.04,,"MULTILINESTRING ((-77.063139 38.921401,-77.059477 38.918591))"
first,458,,25,21528,20639,13343,6678,7004339,160.9,5888.94,,"MULTILINESTRING ((-77.059477 38.918591,-77.058067 38.917574))"
first,458,,26,20639,20594,10322,6677,7004338,1061.94,6950.88,,"MULTILINESTRING ((-77.058067 38.917574,-77.051057 38.910841))"
first,458,,27,20594,20537,10154,6679,7004340,209.17,7160.05,,"MULTILINESTRING ((-77.051057 38.910841,-77.048798 38.911134))"
first,458,,28,20537,20538,9987,6679,7004340,96.54,7256.59,,"MULTILINESTRING ((-77.048798 38.911134,-77.047698 38.911123))"
first,458,,29,20538,21880,9992,6679,7004340,96.54,7353.13,,"MULTILINESTRING ((-77.047698 38.911123,-77.046598 38.910742))"
first,458,,30,21880,21879,14441,6680,7004341,128.72,7481.85,,"MULTILINESTRING ((-77.046598 38.910742,-77.046607 38.909643))"
first,458,,31,21879,21881,14438,6680,7004341,112.63,7594.48,,"MULTILINESTRING ((-77.046607 38.909643,-77.046607 38.908575))"
first,458,,32,21881,20418,14444,6680,7004341,257.44,7851.92,,"MULTILINESTRING ((-77.046607 38.908575,-77.046609 38.906283))"
first,458,,33,20418,20532,9634,6680,7004341,64.36,7916.28,,"MULTILINESTRING ((-77.046609 38.906283,-77.046619 38.905632))"
first,458,,34,20532,20534,9972,6680,7004341,209.17,8125.45,,"MULTILINESTRING ((-77.046619 38.905632,-77.046639 38.903751))"
first,458,,35,20534,20022,9976,6680,7004341,144.81,8270.26,,"MULTILINESTRING ((-77.046639 38.903751,-77.046638 38.902513))"
first,458,,36,20022,20122,8310,6681,7004342,128.72,8398.98,,"MULTILINESTRING ((-77.046638 38.902513,-77.046637 38.901321))"
first,458,,37,20122,20121,8642,6681,7004342,48.27,8447.25,,"MULTILINESTRING ((-77.046637 38.901321,-77.04617 38.901151))"
first,458,,38,20121,20132,8641,6681,7004342,128.72,8575.97,,"MULTILINESTRING ((-77.04617 38.901151,-77.044908 38.900693))"
first,458,,39,20132,20135,8673,6681,7004342,128.72,8704.69,,"MULTILINESTRING ((-77.044908 38.900693,-77.043488 38.900202))"
first,458,,40,20135,20136,8683,6682,7004343,160.9,8865.59,,"MULTILINESTRING ((-77.043488 38.900202,-77.041717 38.900203))"
first,458,,41,20136,20137,8685,6682,7004343,193.08,9058.67,,"MULTILINESTRING ((-77.041717 38.900203,-77.03943 38.900203))"
first,458,,42,20137,20138,8688,6683,7004344,128.72,9187.39,,"MULTILINESTRING ((-77.03943 38.900203,-77.037978 38.900193))"
first,458,,43,20138,20139,8691,6683,7004344,128.72,9316.11,,"MULTILINESTRING ((-77.037978 38.900193,-77.036527 38.900193))"
first,458,,44,20139,20141,8694,6683,7004344,128.72,9444.83,,"MULTILINESTRING ((-77.036527 38.900193,-77.035108 38.900191))"
first,459,,1,20041,37,8365,6686,7004347,176.99,176.99,,"MULTILINESTRING ((-77.039958 38.902512,-77.041584 38.901496))"
first,459,,2,37,20101,93,6686,7004347,32.18,209.17,,"MULTILINESTRING ((-77.041584 38.901496,-77.041707 38.90171))"
first,459,,3,20101,20040,8580,6686,7004347,96.54,305.71,,"MULTILINESTRING ((-77.041707 38.90171,-77.041708 38.902523))"
first,459,,4,20040,20024,8362,6689,7004350,144.81,450.52,,"MULTILINESTRING ((-77.041708 38.902523,-77.043447 38.902511))"
first,459,,5,20024,20112,8316,6687,7004348,128.72,579.24,,"MULTILINESTRING ((-77.043447 38.902511,-77.043457 38.901322))"
first,459,,6,20112,20118,8615,6688,7004349,128.72,707.96,,"MULTILINESTRING ((-77.043457 38.901322,-77.044898 38.901322))"
first,459,,7,20118,20121,8632,6688,7004349,128.72,836.68,,"MULTILINESTRING ((-77.044898 38.901322,-77.04617 38.901151))"
first,459,,8,20121,56,8639,6687,7004348,112.63,949.31,,"MULTILINESTRING ((-77.04617 38.901151,-77.047484 38.90101))"
first,459,,9,56,20021,149,6689,7004350,193.08,1142.39,,"MULTILINESTRING ((-77.047484 38.90101,-77.04868 38.902512))"
first,459,,10,20021,20551,8307,6689,7004350,241.35,1383.74,,"MULTILINESTRING ((-77.04868 38.902512,-77.051399 38.902522))"
first,459,,11,20551,20550,10024,6690,7004351,80.45,1464.19,,"MULTILINESTRING ((-77.051399 38.902522,-77.050549 38.902923))"
first,459,,12,20550,20567,10022,6691,7004352,257.44,1721.63,,"MULTILINESTRING ((-77.050549 38.902923,-77.05327 38.903622))"
first,459,,13,20567,20569,10072,6693,7004354,273.53,1995.16,,"MULTILINESTRING ((-77.05327 38.903622,-77.056169 38.904642))"
first,459,,14,20569,21986,10077,6693,7004354,96.54,2091.7,,"MULTILINESTRING ((-77.056169 38.904642,-77.057129 38.904982))"
first,459,,15,21986,20571,14775,6693,7004354,80.45,2172.15,,"MULTILINESTRING ((-77.057129 38.904982,-77.058078 38.905242))"
first,459,,16,20571,20572,10081,6694,7004355,96.54,2268.69,,"MULTILINESTRING ((-77.058078 38.905242,-77.059157 38.905212))"
first,459,,17,20572,20573,10085,6694,7004355,96.54,2365.23,,"MULTILINESTRING ((-77.059157 38.905212,-77.060179 38.905184))"
first,459,,18,20573,20575,10088,6695,7004356,225.26,2590.49,,"MULTILINESTRING ((-77.060179 38.905184,-77.062808 38.905163))"
first,459,,19,20575,20577,10092,6696,7004357,209.17,2799.66,,"MULTILINESTRING ((-77.062808 38.905163,-77.065208 38.905123))"
first,459,,20,20577,20324,10100,6696,7004357,321.8,3121.46,,"MULTILINESTRING ((-77.065208 38.905123,-77.068947 38.905033))"
first,459,,21,20324,20601,9305,6696,7004357,112.63,3234.09,,"MULTILINESTRING ((-77.068947 38.905033,-77.070198 38.905033))"
first,459,,22,20601,30365,10183,6696,7004357,530.97,3765.06,,"MULTILINESTRING ((-77.070198 38.905033,-77.070566 38.901013))"
first,459,,23,30365,30282,26698,6696,7004357,128.72,3893.78,,"MULTILINESTRING ((-77.070566 38.901013,-77.071279 38.899982))"
first,459,,24,30282,30114,26487,6698,7004359,209.17,4102.95,,"MULTILINESTRING ((-77.071279 38.899982,-77.0725 38.898353))"
first,459,,25,30114,5060,25956,6697,7004358,257.44,4360.39,,"MULTILINESTRING ((-77.0725 38.898353,-77.071552 38.896114))"
first,459,,26,5060,30115,8077,6697,7004358,144.81,4505.2,,"MULTILINESTRING ((-77.071552 38.896114,-77.072289 38.894974))"
first,459,,27,30115,30116,25962,6699,7004360,386.16,4891.36,,"MULTILINESTRING ((-77.072289 38.894974,-77.076747 38.894413))"
first,459,,28,30116,30520,25968,6699,7004360,128.72,5020.08,,"MULTILINESTRING ((-77.076747 38.894413,-77.078177 38.894113))"
first,459,,29,30520,30117,27017,6700,7004361,209.17,5229.25,,"MULTILINESTRING ((-77.078177 38.894113,-77.080277 38.893271))"
first,459,,30,30117,30122,25969,6702,7004363,370.07,5599.32,,"MULTILINESTRING ((-77.080277 38.893271,-77.083968 38.891723))"
first,459,,31,30122,30123,25989,6703,7004364,176.99,5776.31,,"MULTILINESTRING ((-77.083968 38.891723,-77.085808 38.891211))"
first,460,,1,30657,30283,27450,6706,7004367,241.35,241.35,,"MULTILINESTRING ((-77.090697 38.889631,-77.093239 38.888671))"
first,460,,2,30283,30140,26491,6707,7004368,209.17,450.52,,"MULTILINESTRING ((-77.093239 38.888671,-77.094987 38.887461))"
first,460,,3,30140,30130,26052,6707,7004368,225.26,675.78,,"MULTILINESTRING ((-77.094987 38.887461,-77.096837 38.885994))"
first,460,,4,30130,30528,26017,6708,7004369,257.44,933.22,,"MULTILINESTRING ((-77.096837 38.885994,-77.099707 38.885912))"
