agent_id,given_link_type_code,road_sequence,from_node_id,to_node_id,link_id,trace_no,trace_id,length,distance,link_type_code,geometry,old_agent_id
454,,13,20325,20323,9307,6611,7004272,0.08,1.44,,"MULTILINESTRING ((-77.015199 38.887551,-77.016647 38.887551))",218
454,,14,20323,20318,9301,6611,7004272,0.05,1.49,,"MULTILINESTRING ((-77.016647 38.887551,-77.017539 38.887562))",218
454,,15,20318,20065,9284,6612,7004273,0.21,1.7,,"MULTILINESTRING ((-77.017539 38.887562,-77.01754 38.890612))",218
454,,16,20065,20055,8460,6612,7004273,0.11,1.81,,"MULTILINESTRING ((-77.01754 38.890612,-77.017537 38.892161))",218
454,,17,20055,20090,8428,6613,7004274,0.06,1.87,,"MULTILINESTRING ((-77.017537 38.892161,-77.018517 38.892433))",218
454,,18,20090,20091,8543,6613,7004274,0.08,1.95,,"MULTILINESTRING ((-77.018517 38.892433,-77.019919 38.892811))",218
454,,19,20091,20093,8546,6614,7004275,0.11,2.06,,"MULTILINESTRING ((-77.019919 38.892811,-77.021918 38.893382))",218
454,,20,20093,20095,8555,6614,7004275,0.09,2.15,,"MULTILINESTRING ((-77.021918 38.893382,-77.023513 38.893824))",218
454,,21,20095,20096,8560,6614,7004275,0.02,2.17,,"MULTILINESTRING ((-77.023513 38.893824,-77.023939 38.893942))",218
454,,22,20096,20099,8563,6615,7004276,0.12,2.29,,"MULTILINESTRING ((-77.023939 38.893942,-77.026008 38.894513))",218
454,,23,20099,20526,8575,6615,7004276,0.06,2.35,,"MULTILINESTRING ((-77.026008 38.894513,-77.026999 38.894792))",218
454,,24,20526,20102,9953,6616,7004277,0.06,2.41,,"MULTILINESTRING ((-77.026999 38.894792,-77.028099 38.895102))",218
454,,25,20102,20103,8582,6616,7004277,0.09,2.5,,"MULTILINESTRING ((-77.028099 38.895102,-77.029617 38.895503))",218
454,,26,20103,20088,8587,6617,7004278,0.06,2.56,,"MULTILINESTRING ((-77.029617 38.895503,-77.030717 38.895514))",218
454,,27,20088,20188,8537,6617,7004278,0.07,2.63,,"MULTILINESTRING ((-77.030717 38.895514,-77.031957 38.895521))",218
454,,28,20188,20189,8860,6617,7004278,0.06,2.69,,"MULTILINESTRING ((-77.031957 38.895521,-77.033085 38.895505))",218
454,,29,20189,20190,8864,6617,7004278,0.03,2.72,,"MULTILINESTRING ((-77.033085 38.895505,-77.033658 38.895472))",218
454,,30,20190,20087,8865,6618,7004279,0.07,2.79,,"MULTILINESTRING ((-77.033658 38.895472,-77.033655 38.896416))",218
454,,31,20087,21606,8534,6618,7004279,0.06,2.85,,"MULTILINESTRING ((-77.033655 38.896416,-77.033648 38.897311))",218
454,,32,21606,20181,13592,6618,7004279,0.07,2.92,,"MULTILINESTRING ((-77.033648 38.897311,-77.033659 38.898302))",218
454,,33,20181,20160,8836,6618,7004279,0.03,2.95,,"MULTILINESTRING ((-77.033659 38.898302,-77.033659 38.898791))",218
454,,34,20160,20142,8764,6619,7004280,0.1,3.05,,"MULTILINESTRING ((-77.033659 38.898791,-77.033628 38.900192))",218
454,,35,20142,20082,8704,6619,7004280,0.08,3.13,,"MULTILINESTRING ((-77.033628 38.900192,-77.033639 38.901323))",218
454,,36,20082,20084,8515,6619,7004280,0.05,3.18,,"MULTILINESTRING ((-77.033639 38.901323,-77.034609 38.901312))",218
454,,37,20084,20443,8523,6619,7004280,0.1,3.28,,"MULTILINESTRING ((-77.034609 38.901312,-77.036517 38.901311))",218
454,,38,20443,20089,9701,6620,7004281,0.11,3.39,,"MULTILINESTRING ((-77.036517 38.901311,-77.03851 38.901321))",218
454,,39,20089,20098,8539,6620,7004281,0.05,3.44,,"MULTILINESTRING ((-77.03851 38.901321,-77.039437 38.901302))",218
454,,40,20098,20100,8570,6621,7004282,0.12,3.56,,"MULTILINESTRING ((-77.039437 38.901302,-77.041707 38.901323))",218
454,,41,20100,20112,8578,6621,7004282,0.09,3.65,,"MULTILINESTRING ((-77.041707 38.901323,-77.043457 38.901322))",218
455,,1,20124,5061,8647,6623,7004284,0.14,0.14,,"MULTILINESTRING ((-77.048816 38.902053,-77.050555 38.900622))",218
455,,2,5061,20131,8079,6624,7004285,0.02,0.16,,"MULTILINESTRING ((-77.050555 38.900622,-77.050119 38.900683))",218
455,,3,20131,20175,8670,6624,7004285,0.08,0.24,,"MULTILINESTRING ((-77.050119 38.900683,-77.050129 38.899562))",218
455,,4,20175,20177,8813,6625,7004286,0.09,0.33,,"MULTILINESTRING ((-77.050129 38.899562,-77.050149 38.898321))",218
455,,5,20177,20437,8822,6625,7004286,0.07,0.4,,"MULTILINESTRING ((-77.050149 38.898321,-77.050138 38.897363))",218
456,,1,58,21866,159,6628,7004289,0.14,0.14,,"MULTILINESTRING ((-77.04843 38.897542,-77.048829 38.89956))",219
456,,2,21866,56,14392,6632,7004293,0.12,0.26,,"MULTILINESTRING ((-77.048829 38.89956,-77.047484 38.90101))",219
456,,3,56,20121,150,6632,7004293,0.07,0.33,,"MULTILINESTRING ((-77.047484 38.90101,-77.04617 38.901151))",219
456,,4,20121,20132,8641,6632,7004293,0.08,0.41,,"MULTILINESTRING ((-77.04617 38.901151,-77.044908 38.900693))",219
456,,5,20132,20135,8673,6632,7004293,0.08,0.49,,"MULTILINESTRING ((-77.044908 38.900693,-77.043488 38.900202))",219
456,,6,20135,20136,8683,6633,7004294,0.1,0.59,,"MULTILINESTRING ((-77.043488 38.900202,-77.041717 38.900203))",219
